Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
CNGR ADVANCED MATERIAL LTD A,CNE1000049X9,SBP91MT18,0.0%,Materials,China,B
CNNC HUA YUAN TITANIUM DIOXIDE LTD,CNE1000005X1,SBD5LTP65,0.0%,Materials,China,CCC
COFCO JOYCOME FOODS LTD,KYG226921008,SBYNJJY84,0.0%,Consumer Staples,China,
CONTEMPORARY AMPEREX TECHNOLOGY LT,CNE100003662,SBHQPSY71,0.0%,Industrials,China,BBB
COSCO SHIPPING DEVELOPMENT LTD A,CNE1000008F2,SBP3R6D72,0.0%,Industrials,China,B
COSCO SHIPPING ENERGY TRANSPORTATI,CNE000001BD6,SBP3R9Y99,0.0%,Energy,China,B
COSCO SHIPPING ENERGY TRANSPORTATI,CNE1000002S8,S67820456,0.0%,Energy,China,B
COSCO SHIPPING HOLDINGS LTD A,CNE100000601,SBP3R5524,0.0%,Industrials,China,B
COSCO SHIPPING HOLDINGS LTD H,CNE1000002J7,SB0B8Z189,0.0%,Industrials,China,B
COSCO SHIPPING PORTS LTD,BMG2442N1048,S63542518,0.1%,Industrials,China,CCC
